seed,ll,error,runtime_s,converged,n_iter_run,warnings,model,fold_id
43,-1000220.1679751817,,25.774195432662964,True,58,[],30m_hmm4,49
44,-1007717.1184592451,,12.388456583023071,True,20,[],30m_hmm4,50
45,-1007737.5042598392,,17.754236221313477,True,33,[],30m_hmm4,50
42,-1007737.65221749,,21.13294792175293,True,50,[],30m_hmm4,50
46,-1301318.841618567,,21.815256357192993,True,56,[],30m_hmm4,50
43,-1017600.4916567656,,24.057995319366455,True,58,[],30m_hmm4,50
44,-1027383.1355877898,,14.351845741271973,True,21,[],30m_hmm4,51
42,-1027409.1808715266,,14.440737962722778,True,25,[],30m_hmm4,51
43,-1027410.4867453743,,18.467823028564453,True,42,[],30m_hmm4,51
46,-1327180.1603241963,,22.49128270149231,True,50,[],30m_hmm4,51
45,-1327180.1487878643,,22.75065302848816,True,53,[],30m_hmm4,51
42,-1047395.5877108576,,14.840290307998657,True,21,[],30m_hmm4,52
44,-1047405.1102610187,,15.603623151779175,True,21,[],30m_hmm4,52
45,-1047430.679059467,,19.14047360420227,True,28,[],30m_hmm4,52
43,-1047432.4687982758,,22.14436984062195,True,45,[],30m_hmm4,52
46,-1352587.218567981,,26.638814210891724,True,57,[],30m_hmm4,52
46,-1068731.4273453439,,19.227958917617798,True,30,[],30m_hmm4,53
45,-1380828.5763406618,,25.66569471359253,True,50,[],30m_hmm4,53
43,-1068735.124354096,,26.122928142547607,True,51,[],30m_hmm4,53
42,-1380828.5758345467,,26.665425062179565,True,51,[],30m_hmm4,53
44,-1068735.1244957375,,30.294005632400513,True,63,[],30m_hmm4,53
44,-1086320.2236897075,,12.446898937225342,True,21,[],30m_hmm4,54
42,-1086315.4002897204,,14.590673208236694,True,24,[],30m_hmm4,54
45,-1086355.5678115403,,20.17802381515503,True,41,[],30m_hmm4,54
43,-1086355.568783296,,22.65209674835205,True,51,[],30m_hmm4,54
46,-1404927.6519289631,,23.485398530960083,True,54,[],30m_hmm4,54
44,-1104386.1020693579,,16.160317420959473,True,27,[],30m_hmm4,55
46,-1429532.8106243426,,22.360356330871582,True,48,[],30m_hmm4,55
42,-1429532.8119225944,,23.438916206359863,True,47,[],30m_hmm4,55
45,-1429532.8109028558,,24.26901888847351,True,50,[],30m_hmm4,55
43,-1104393.897641888,,24.526371955871582,True,49,[],30m_hmm4,55
42,-1119942.519180776,,12.593562364578247,True,21,[],30m_hmm4,56
44,-1119934.3719400428,,13.990951538085938,True,21,[],30m_hmm4,56
46,-1119969.690879705,,17.10454773902893,True,31,[],30m_hmm4,56
45,-1119969.0176022784,,18.290611028671265,True,28,[],30m_hmm4,56
43,-1119970.3128450003,,19.914718866348267,True,35,[],30m_hmm4,56
42,-1135897.9820650646,,14.38878607749939,True,26,[],30m_hmm4,57
44,-1135870.4905257367,,15.445758581161499,True,21,[],30m_hmm4,57
46,-1471981.8117193957,,22.838381052017212,True,48,[],30m_hmm4,57
45,-1135903.10899854,,25.80653429031372,True,55,[],30m_hmm4,57
43,-1135903.1075415371,,26.6898033618927,True,63,[],30m_hmm4,57
44,-1150522.4965039163,,12.890298843383789,True,23,[],30m_hmm4,58
42,-1150518.8239529734,,14.193176746368408,True,24,[],30m_hmm4,58
45,-1150566.414478124,,16.151994943618774,True,28,[],30m_hmm4,58
46,-1490468.7469175926,,21.05194091796875,True,46,[],30m_hmm4,58
43,-1150568.180399267,,24.511946201324463,True,61,[],30m_hmm4,58
42,-1166677.7252100366,,13.276500463485718,True,21,[],30m_hmm4,59
44,-1166717.0939209554,,13.5498526096344,True,22,[],30m_hmm4,59
46,-1512165.839995622,,22.75233006477356,True,53,[],30m_hmm4,59
45,-1512165.843517292,,23.55715274810791,True,51,[],30m_hmm4,59
43,-1123369.7674817336,,30.31856679916382,True,78,[],30m_hmm4,59
42,-1181928.4658685483,,16.076653480529785,True,19,[],30m_hmm4,60
45,-1532573.0309510087,,28.574625968933105,True,51,[],30m_hmm4,60
46,-1532573.0355703025,,28.75739598274231,True,50,[],30m_hmm4,60
