fold,config,pool_train_rows,n_eligible,fit_time_s,train_auc,oos_fold_auc
77,RF-2,69716,1798.0,3.5692059993743896,0.5966784989672355,0.5047055184360307
78,RF-2,71514,1341.0,3.8528923988342285,0.5965141066955136,0.5145485931910804
79,RF-2,72855,1086.0,4.4238386154174805,0.596294535857766,0.5234054127566979
80,RF-2,73941,2007.0,4.9579784870147705,0.5963011728810704,0.5205259195846351
81,RF-2,75948,1770.0,6.756748676300049,0.5918922350751941,0.4614894658847636
82,RF-2,77718,1604.0,4.533831596374512,0.5918705448322082,0.5155117718408857
83,RF-2,79322,1496.0,5.090822219848633,0.5901063264829269,0.4298897177783379
84,RF-2,80818,1819.0,5.812069654464722,0.5886503808978996,0.46417237509191533
85,RF-2,82637,1386.0,5.207247972488403,0.5884140740914083,0.46739840367259633
86,RF-2,84023,1008.0,5.071020603179932,0.5869721594630357,0.5203468369031283
87,RF-2,85031,658.0,5.054186582565308,0.5856865061530581,0.5104783071722924
88,RF-2,85689,660.0,5.157780885696411,0.5858899698311042,0.48160782464801105
89,RF-2,86349,541.0,4.946407318115234,0.5859087065967105,0.4539117598819091
90,RF-2,86890,366.0,5.1800243854522705,0.5871844705866129,0.530125255234206
91,RF-2,87256,1332.0,5.302523612976074,0.5871220162668598,0.4204396813798454
92,RF-2,88588,1836.0,5.3696887493133545,0.5857010407778104,0.45224095436211503
93,RF-2,90424,1002.0,5.370019912719727,0.5860091702488329,0.5521556550951847
94,RF-2,91426,945.0,5.619103193283081,0.5855417063410966,0.5098933936359231
95,RF-2,92371,1950.0,5.601969003677368,0.5827581050902094,0.46815192142604656
96,RF-2,94321,2015.0,6.050061464309692,0.5818149624676077,0.5190060828191596
97,RF-2,96336,970.0,5.770815134048462,0.580649368678188,0.5418437724706313
98,RF-2,97306,557.0,5.816523790359497,0.5793498184122207,0.5421093347086127
99,RF-2,97863,1670.0,5.915048837661743,0.5792887750845084,0.4919660081035534
100,RF-2,99533,629.0,6.1603686809539795,0.578093304775549,0.5681583162675643
0,RF-3,0,,,,
1,RF-3,4184,1768.0,0.5276992321014404,0.649338383736271,0.5058810012975778
2,RF-3,5952,1228.0,0.5761780738830566,0.6504885730436889,0.5683012552301256
3,RF-3,7180,705.0,0.6803669929504395,0.6559863342373046,0.5264527250173183
4,RF-3,7885,827.0,0.5913796424865723,0.6596789585093242,0.535981027857829
5,RF-3,8712,1557.0,0.6778860092163086,0.6553670123847979,0.5458012324073516
6,RF-3,10269,510.0,1.9984405040740967,0.648829219826863,0.5113278399686771
7,RF-3,10779,260.0,1.371079921722412,0.6471450869180309,0.522808908045977
8,RF-3,11039,2091.0,1.4363148212432861,0.644276592031062,0.5268252038678545
